corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
kalamang	kasuari	0001	#	#	#nc	#nc				
kalamang	kasuari	0001	e	hey	nc	nc				
kalamang	kasuari	0001	mama	Mama	nc	nc				
kalamang	kasuari	0002	#	#	#nc	#nc				
kalamang	kasuari	0002	pelan	NC	nc	nc				
kalamang	kasuari	0002	pelan	NC	nc	nc				
kalamang	kasuari	0002	e	NC	nc	nc				
kalamang	kasuari	0003	#	#	##	##				
kalamang	kasuari	0003	yo	yes	other	other				
kalamang	kasuari	0003	eba	then	other	other				
kalamang	kasuari	0003	ma	3SG	pro.n:s	pro	n	s	101	new
kalamang	kasuari	0003	taikon	side	rn	rn				
kalamang	kasuari	0003	tamangga-ra	where.LAT-NFIN	lv	lv				
kalamang	kasuari	0003	ma	3SG	nc_pro.n	nc_pro	n		101	
kalamang	kasuari	0003	bara	descend	v:pred	v		pred		
kalamang	kasuari	0003	#	#	#nc	#nc				
kalamang	kasuari	0003	ma	3SG	nc_pro.n	nc_pro	n		101	
kalamang	kasuari	0003	taikon	side	nc	nc				
kalamang	kasuari	0003	#	#	#nc	#nc				
kalamang	kasuari	0003	ma	3SG	nc_pro.n	nc_pro	n		101	
kalamang	kasuari	0003	tamangga	where.LAT	nc	nc				
kalamang	kasuari	0003	#	#	##	##				
kalamang	kasuari	0003	mu	3PL	pro.n:s	pro	n	s	102	new
kalamang	kasuari	0003	uninsinei	Teluk_Buruwai	pn_np:l	pn_np		l	106	new
kalamang	kasuari	0003	=ngga-ra	=LAT-NFIN	=rn	=rn				
kalamang	kasuari	0003	bara	descend	v:pred	v		pred		
kalamang	kasuari	0004	#	#	##	##				
kalamang	kasuari	0004	ZERO	ZERO	0.n:s	0	n	s	102	
kalamang	kasuari	0004	uninsinei	Teluk_Buruwai	pn_np:g	pn_np		g	102	
kalamang	kasuari	0004	=ngga-ra	=LAT-NFIN	=rn	=rn				
kalamang	kasuari	0004	bara	descend	v:pred	v		pred		
kalamang	kasuari	0005	#	#	#nc	#nc				
kalamang	kasuari	0005	yo	yes	nc	nc				
kalamang	kasuari	0005	ini	this	nc	nc				
kalamang	kasuari	0005	dia	3SG	nc	nc				
kalamang	kasuari	0005	rekam	record	nc	nc				
kalamang	kasuari	0005	silikan	please	nc	nc				
kalamang	kasuari	0005	cerita	tell	nc	nc				
kalamang	kasuari	0005	pulau	island	nc	nc				
kalamang	kasuari	0005	kasowari	cassowary	nc	nc				
kalamang	kasuari	0005	dengan	and	nc	nc				
kalamang	kasuari	0005	anjing	dog	nc	nc				
kalamang	kasuari	0005	Kalamangmang	speak_Kalamang	nc	nc				
kalamang	kasuari	0006	#	#	#nc	#nc				
kalamang	kasuari	0006	anjing	dog	nc_np.n	nc_np	n		103	new
kalamang	kasuari	0007	#	#	#nc	#nc				
kalamang	kasuari	0007	[UNCLEAR]	NC	nc	nc				
kalamang	kasuari	0008	#	#	##	##				
kalamang	kasuari	0008	bal	dog	nc	nc				
kalamang	kasuari	0008	bal	dog	np.n:dt_poss	np	n	dt_poss	103	
kalamang	kasuari	0008	me	DIST	rn	rn				
kalamang	kasuari	0009	in	name	np:s	np		s		
kalamang	kasuari	0009	-un	-3POSS	-rn_pro.n:poss	-rn_pro	n	poss	103	
kalamang	kasuari	0009	Dolok	Dolok	pn_np.n:pred	pn_np	n	pred		
kalamang	kasuari	0009	anjing	dog	nc_np.n	nc_np	n		103	
kalamang	kasuari	0009	bal	dog	nc_np.n	nc_np	n		103	
kalamang	kasuari	0010	Dolok	Dolok	nc_pn_np	nc_pn_np				
kalamang	kasuari	0010	Dolok	Dolok	nc_pn_np	nc_pn_np				
kalamang	kasuari	0011	#	#	#nc	#nc				
kalamang	kasuari	0011	anjing	dog	nc_np.n	nc_np	n		103	
kalamang	kasuari	0011	tadi	earlier	rn	rn				
kalamang	kasuari	0012	#	#	#	#				
kalamang	kasuari	0012	eh	FIL	nc	nc				
kalamang	kasuari	0012	kasa--	NC	nc	nc				
kalamang	kasuari	0012	eh	FIL	nc	nc				
kalamang	kasuari	0012	bal	dog	np.n:dt_poss	np	n	dt_poss	103	
kalamang	kasuari	0012	wa	PROX	rn	rn				
